131.14.216.241 24153 54.43.88.212 80 || 	123.00 1329.17
173.199.56.233 80 202.234.224.241 59801 || 	149.67 1500.00
199.252.216.15 443 163.39.157.71 52864 || 	267.00 56.80
211.73.188.247 443 202.234.35.13 36955 || 	15.33 1500.00
126.71.29.111 61782 203.146.247.176 80 || 	500.50 40.00
203.146.250.47 80 199.48.187.153 58554 || 	451.00 521.00
23.225.11.237 80 202.31.174.9 18622 || 	3.00 1430.00
182.104.251.244 64598 150.79.7.129 80 || 	85.33 40.00
211.3.241.186 14457 150.79.7.129 80 || 	726.00 40.00
223.139.34.184 57258 203.146.250.47 80 || 	141.00 40.00
61.43.24.146 80 133.227.178.71 55651 || 	62.00 1500.00
183.172.222.56 39620 150.79.7.129 80 || 	6.21 52.00
27.178.159.198 4419 150.79.7.129 80 || 	1232.00 40.00
61.43.24.136 80 133.227.178.71 55658 || 	451.00 1500.00
23.238.55.225 80 202.234.35.13 54750 || 	3.00 1500.00
202.234.227.137 58409 89.57.134.9 80 || 	26.50 40.00
69.192.0.189 80 202.234.225.187 59368 || 	10.00 1500.00
133.227.127.204 53917 103.238.115.79 80 || 	252.00 40.00
118.91.103.40 53186 150.79.7.129 80 || 	4.00 52.00
31.65.185.129 443 202.31.174.9 51205 || 	6.50 1430.00
150.33.47.65 8932 150.79.7.129 80 || 	793.00 40.00
64.120.227.69 443 163.39.158.247 58667 || 	125.00 1426.00
202.234.224.241 59801 173.199.56.233 80 || 	29.00 40.00
110.135.17.73 48692 150.79.7.129 80 || 	4.00 52.00
